startup_id,team_experience,market_size_million_usd,monthly_active_users,monthly_burn_rate_inr,funds_raised_inr,valuation_inr,team_experience_norm,market_size_norm,users_norm,burn_norm,funds_norm,valuation_norm,final_score
S006,10,416,95939,551157,48939582,307433345,1.0,0.4093686354378819,0.9726887314135911,0.9605964641927731,0.9855488692322252,0.6095694564366129,81.03733052105773
S077,9,357,86081,1155534,46216125,399998231,0.8888888888888888,0.34928716904276985,0.8717384180559538,0.8987043743520233,0.9305701956823528,0.7993199742230886,77.04793345768942
S045,10,743,80723,7315795,33737494,417486361,1.0,0.7423625254582484,0.8168701101871954,0.267854048720063,0.6786629395375638,0.8351692240413966,75.65502620472988
S033,5,867,63834,2033509,49263721,394782347,0.4444444444444444,0.8686354378818737,0.6439192233646008,0.8087940905756184,0.9920922926333592,0.7886278345523912,74.93609882196161
S013,8,735,83311,2849487,43381573,234061323,0.7777777777777778,0.7342158859470469,0.8433723835661328,0.7252326981267406,0.8733488372881728,0.45916275507103577,74.67529484141646
S029,7,804,87192,5903584,33266319,360831658,0.6666666666666666,0.8044806517311609,0.8831155531888748,0.4124735330586383,0.669151287064306,0.7190316723861285,73.11498158668799
S097,9,686,66790,1222622,13470137,439431826,0.8888888888888888,0.6843177189409368,0.6741899807479621,0.8918341318986602,0.2695239649836339,0.8801556495290809,70.03797276752846
S012,8,881,62103,5012140,32576169,334159127,0.7777777777777778,0.8828920570264766,0.6261930119198788,0.5037631290161241,0.6552191663991205,0.6643551445294873,69.81057905928351
S008,7,737,54484,4174499,46422165,378403327,0.6666666666666666,0.7362525458248472,0.5481710564043747,0.5895429519185434,0.9347295438557278,0.7550521703870937,69.67148255943407
S043,10,105,89145,1468175,40902772,306248071,1.0,0.09266802443991853,0.9031151435710482,0.8666879262411556,0.8233090566071863,0.6071397407535098,69.55485030089658
