startup_id,team_experience,market_size_million_usd,monthly_active_users,monthly_burn_rate_inr,funds_raised_inr,valuation_inr
S001,7,789,66299,6091495,4183839,263247468
S002,4,939,34866,9106842,666326,172927107
S003,8,42,73630,8817088,649150,313090455
S004,5,57,93657,6374167,20153173,305887183
S005,7,512,61187,841971,118834,84815222
S006,10,416,95939,551157,48939582,307433345
S007,3,583,68940,4428727,22725756,123865200
S008,7,737,54484,4174499,46422165,378403327
S009,8,814,51105,5996594,4422201,58978079
S010,5,108,46676,5156799,1079600,290161754
S011,4,693,39453,4377576,26191539,228825555
S012,8,881,62103,5012140,32576169,334159127
S013,8,735,83311,2849487,43381573,234061323
S014,3,996,52833,2954941,27447054,66564401
S015,6,556,65418,8033441,3503157,325109026
S016,5,970,89574,5370385,25050090,88547323
S017,2,748,23764,2150021,8849851,25033888
S018,8,622,67272,9799436,28425184,367568416
S019,6,952,85716,6978040,18762804,272869948
S020,2,471,93364,668467,25417275,205922610
S021,5,652,26836,5383152,17781862,313394218
S022,1,778,94309,7378141,31020227,295464164
S023,10,14,954,5122148,20644716,14035851
S024,6,227,90184,1757923,29549535,57685442
S025,9,512,38723,5184207,449395,312480960
S026,1,776,7492,8566999,21921117,380185632
S027,10,407,55780,6780886,40308782,123751207
S028,3,880,46817,9455634,31530803,140355017
S029,7,804,87192,5903584,33266319,360831658
S030,4,402,50959,8220528,30503180,314045611
S031,9,216,26409,4351754,3379569,112912284
S032,3,24,87555,2319042,2900603,307904524
S033,5,867,63834,2033509,49263721,394782347
S034,3,563,70567,7790141,44910237,442838238
S035,7,901,52762,166381,42165906,19702701
S036,5,470,98606,1571701,35201143,88262145
S037,9,700,12788,6155525,22364990,177345404
S038,7,584,25442,9637994,6319707,415629426
S039,2,873,37257,3488618,41522233,259137186
S040,4,752,67963,7963697,1423286,381747542
S041,9,250,52183,2507184,3695961,315752912
S042,2,573,65833,4153022,41771748,141952729
S043,10,105,89145,1468175,40902772,306248071
S044,9,909,34798,3856688,11802429,54653148
S045,10,743,80723,7315795,33737494,417486361
S046,5,494,22771,3822962,27657342,253153865
S047,2,416,25284,4091776,36396424,109952217
S048,4,240,93484,2777423,4294539,399229565
S049,7,758,42207,5759840,11609076,286890017
S050,8,664,86302,5180397,48612992,55932658
S051,3,180,51763,3501356,6095929,146815208
S052,1,550,15808,9570173,38498937,301586873
S053,4,45,92006,3494084,803328,318108788
S054,2,534,49911,2977109,20840174,432352497
S055,8,169,2911,7029451,1043233,26934380
S056,4,848,56350,8569981,23245919,274776778
S057,2,708,72182,7828484,10100349,20617244
S058,6,252,34854,8553902,529525,178303991
S059,6,95,95842,6264624,49267247,482751523
S060,10,805,11511,4892611,47205976,194451800
S061,4,587,3011,6407182,16953831,239698836
S062,6,691,67370,4385868,7474447,407630460
S063,2,566,83863,9864996,4601020,147587448
S064,10,583,8780,2265167,15126502,216037667
S065,2,962,84996,3936402,3699391,235226121
S066,10,655,83979,6595535,32122302,218181092
S067,4,805,71395,6892385,10074901,12640328
S068,8,37,88714,9128552,48487260,304292375
S069,7,629,11211,738105,3612610,254103359
S070,9,565,37604,2039173,15192217,336093538
S071,8,349,1902,3130761,10292658,468048610
S072,5,807,8255,1464466,33698788,171566703
S073,2,967,73756,495101,46341205,21552291
S074,5,340,39484,8156609,28766157,10070640
S075,8,649,47354,7463023,1748014,123442790
S076,10,515,22018,7663269,40711152,355933919
S077,9,357,86081,1155534,46216125,399998231
S078,9,482,60813,9663273,2288627,249475901
S079,1,240,30406,4403127,14840260,275715423
S080,9,199,16746,7365360,23295179,475629220
S081,7,234,46943,8123461,6597519,497894795
S082,9,394,96701,548863,17541337,241902576
S083,8,386,90835,8806262,31099311,245556534
S084,1,292,16471,2726188,43112788,13741196
S085,8,967,77471,3345990,20279846,29511512
S086,8,642,2149,7832937,10970723,496345570
S087,3,637,31716,6576818,5698848,452913640
S088,1,982,21032,9931393,49601789,21720477
S089,8,754,29955,9235687,39293284,128338832
S090,3,268,61534,5541590,33843222,157435376
S091,3,368,72794,6562440,5084921,32558781
S092,1,719,43116,6149628,27810313,338382319
S093,5,465,7500,6605968,43351876,72784216
S094,10,420,42742,2749015,46787763,310860757
S095,7,658,15251,9724733,3693305,214591500
S096,10,327,51507,8887590,49655442,98146618
S097,9,686,66790,1222622,13470137,439431826
S098,7,234,4599,2553771,4466271,70995760
S099,9,828,6395,3227825,34907127,239717603
S100,8,243,59140,1046161,10495300,56547339
